,Company Name,Listed Date,Issue Price,Listing Day Close,Listing Day Gain,Current Price,Profit/Loss,Year,Is_Successful
402,Pearl Green Clubs and Resorts Limited,2022-07-07,186,198.5,0.000672,98.0,-0.004731,2022,0
403,Modi's Navnirman Limited,2022-07-06,180,188.95,0.000497,270.0,0.005,2022,0
404,Goel Food Products Limited,2022-06-28,72,78.75,0.0009379999999999999,20.41,-0.007165,2022,0
405,Scarnose International Limited,2022-06-27,55,56.05,0.000191,86.64,0.005753,2022,0
406,Silver Pearl Hospitality & Luxury Spaces Ltd,2022-06-17,18,15.2,-0.001556,8.82,-0.0051,2022,0
407,Rachana Infrastructure Limited,2022-06-10,135,138.55,0.000263,,-0.006874,2022,0
408,Fidel Softech Limited,2022-06-10,37,62.05,0.006770000000000001,,0.046486,2022,0
409,Globesecure Technologies Limited,2022-06-02,29,37.1,0.002793,,-0.006,2022,0
410,Sonu Infratech Limited,2022-05-13,36,37.6,0.000444,,0.027486,2022,0
411,Le Merite Exports Limited,2022-05-09,75,78.75,0.0005,,0.03196,2022,0
412,Fone4 Communications (India) Limited,2022-05-06,10,9.5,-0.0005,8.2,-0.0018,2022,0
413,Nanavati Ventures Limited,2022-05-06,50,50.3,6e-05,102.23,0.010446,2022,0
414,Global Longlife Hospital and Research Limited,2022-05-04,140,135.35,-0.000332,27.5,-0.008036,2022,0
415,Shashwat Furnishing Solutions Limited,2022-05-04,45,45.3,6.7e-05,44.0,-0.000222,2022,0
416,Jeena Sikho Lifecare Limited,2022-04-19,150,173.35,0.001557,,0.1347,2022,1
417,Eighty Jewellers Limited,2022-04-13,41,44.1,0.000756,37.8,-0.00078,2022,0
418,Dhyaani Tile And Marblez Limited,2022-04-12,51,54.8,0.000745,12.31,-0.007586000000000001,2022,0
419,Sunrise Efficient Marketing Limited,2022-04-12,121,124.8,0.000314,217.8,0.008,2022,0
420,Krishna Defence and Allied Industries Limited,2022-04-06,39,78.75,0.010192,,0.236808,2022,1
421,P. E. Analytics Limited,2022-04-04,114,168.5,0.004781000000000001,,0.008439,2022,0
422,Empyrean Cashews Limited,2022-03-31,37,44.1,0.001919,,0.088108,2022,0
423,Evoq Remedies Limited,2022-03-30,27,23.75,-0.001204,4.87,-0.008196,2022,0
424,Achyut Healthcare Limited,2022-03-30,20,21.15,0.000575,3.65,-0.008175,2022,0
425,KN Agri Resources Limited,2022-03-28,75,146.0,0.009467,,0.01972,2022,0
426,Swaraj Suiting Limited,2022-03-28,56,53.2,-0.0005,,0.028696,2022,0
427,Cool Caps Industries Limited,2022-03-24,38,37.65,-9.2e-05,,0.203092,2022,1
428,Bhatia Colour Chem Limited,2022-03-24,80,42.0,-0.00475,326.0,0.03075,2022,0
429,SP Refractories Limited,2022-03-22,90,90.1,1.1e-05,,0.00485,2022,0
430,Shigan Quantum Technologies Limited,2022-03-11,50,64.05,0.00281,,0.00629,2022,0
431,Ekennis Software Service Limited,2022-03-07,72,84.0,0.001667,56.0,-0.002222,2022,0
432,Vaidya Sane Ayurved Laboratories Limited,2022-02-23,73,105.4,0.004438,,0.011247,2022,0
433,Richa Info Systems,2022-02-21,125,118.75,-0.0005,,-0.00392,2022,0
434,Maruti Interior Products Limited,2022-02-16,55,71.9,0.003073,109.15,0.009845,2022,0
435,Safa Systems & Technologies Limited,2022-02-09,10,15.73,0.00573,41.9,0.0319,2022,0
436,Quality RO Industries Limited,2022-02-09,51,53.7,0.0005290000000000001,153.5,0.020098,2022,0
437,Precision Metaliks Limited,2022-02-01,51,71.25,0.003971,,-0.005706,2022,0
438,Alkosign Limited,2022-02-01,45,45.25,5.6e-05,104.1,0.013133,2022,0
439,Dj Mediaprint & Logistics Limited,2022-01-31,125,241.7,0.009336,103.55,-0.001716,2022,0
440,Fabino Life Sciences Limited,2022-01-13,36,40.35,0.001208,24.75,-0.003125,2022,0
441,Ascensive Educare Limited,2022-01-12,26,28.95,0.001135,19.6,-0.002462,2022,0
442,Timescan Logistics (India) Limited,2022-01-12,51,86.1,0.006882,,0.001824,2022,0
443,AB Cotspin India Limited,2022-01-11,35,40.4,0.001543,,0.116886,2022,1
444,Vivo Collaboration Solutions Ltd,2021-12-31,82,337.35,0.03114,,-0.002195,2021,0
445,Brandbucket Media & Technology Limited,2021-12-31,55,52.5,-0.000455,4.9,-0.009109,2021,0
446,Clara Industries Limited,2021-12-29,43,44.0,0.000233,37.0,-0.001395,2021,0
447,Wherrelz IT Solutions Limited,2021-12-29,171,177.2,0.000363,237.6,0.003895,2021,0
448,Foce India Limited,2021-12-28,225,225.7,3.1e-05,,0.07177800000000001,2021,0
449,Euro Panel Products Limited,2021-12-24,70,71.4,0.0002,,0.013,2021,0
450,Nupur Recyclers Limited,2021-12-23,60,77.7,0.00295,,0.0,2021,0
451,DMR Hydroengineering & Infrastructures Limited,2021-12-07,21,26.25,0.0025,126.3,0.05014300000000001,2021,0
452,Omnipotent Industries Limited,2021-11-29,63,94.05,0.004929,10.57,-0.008322000000000001,2021,0
453,Suyog Gurbaxani Funicular Ropeways Limited,2021-11-16,45,45.1,2.2e-05,144.0,0.022,2021,0
454,Nidan Laboratories and Healthcare Limited,2021-11-12,125,117.75,-0.00058,,-0.00832,2021,0
